divisao_cnae;divisao_descricao;quantidade;tipo_empresa;percentual_no_tipo
25;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS  E EQUIPAMENTOS;173;MEI (inativo no CNPJ);1.12
52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;170;MEI (inativo no CNPJ);1.1
32;FABRICAÇÃO DE PRODUTOS DIVERSOS;170;MEI (inativo no CNPJ);1.1
58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;167;MEI (inativo no CNPJ);1.08
33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;133;MEI (inativo no CNPJ);0.86
90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;119;MEI (inativo no CNPJ);0.77
74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;108;MEI (inativo no CNPJ);0.7
01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;96;MEI (inativo no CNPJ);0.62
31;FABRICAÇÃO DE MÓVEIS;93;MEI (inativo no CNPJ);0.6
59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";82;MEI (inativo no CNPJ);0.53
13;FABRICAÇÃO DE PRODUTOS TÊXTEIS;71;MEI (inativo no CNPJ);0.46
77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;71;MEI (inativo no CNPJ);0.46
79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS;70;MEI (inativo no CNPJ);0.45
18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;46;MEI (inativo no CNPJ);0.3
16;FABRICAÇÃO DE PRODUTOS DE MADEIRA;45;MEI (inativo no CNPJ);0.29
38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";44;MEI (inativo no CNPJ);0.29
23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;31;MEI (inativo no CNPJ);0.2
61;TELECOMUNICAÇÕES;23;MEI (inativo no CNPJ);0.15
93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;20;MEI (inativo no CNPJ);0.13
55;ALOJAMENTO;18;MEI (inativo no CNPJ);0.12
22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;13;MEI (inativo no CNPJ);0.08
